price_type,lat,lon,years,CVEGEO,new_id,num_comercios_imp,is_consultorio_imp,is_recreativo_imp,is_retail_imp,is_escuela_imp,Baños_imp,Recámaras_imp,precio_m2_final,nearest_50_pct_price,nearest_75_pct_price,nearest_25_pct_price,nearest_std_price,distance_parque,distance_fuente,ageb_precio_m2_25_pct,ageb_precio_m2_50_pct,ageb_precio_m2_75_pct
venta,19.4195256,-99.162549,0.0,0901500011002,491,317.0,17.0,59.0,71.0,15.0,1.0,1.0,78372.09302325582,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,492,317.0,17.0,59.0,71.0,15.0,2.0,2.0,104014.8108108108,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,493,317.0,17.0,59.0,71.0,15.0,2.0,1.0,63432.835820895525,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,494,317.0,17.0,59.0,71.0,15.0,2.0,1.0,62826.086956521736,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,1.0,0901500011002,495,317.0,17.0,59.0,71.0,15.0,2.0,2.0,66615.66153846154,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,497,317.0,17.0,59.0,71.0,15.0,3.0,2.0,48195.87628865979,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,498,317.0,17.0,59.0,71.0,15.0,1.0,2.0,57484.61538461538,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,499,317.0,17.0,59.0,71.0,15.0,2.0,2.0,50476.84126984127,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4239626,-99.1609669,15.0,0901500011002,500,352.0,11.0,56.0,67.0,12.0,2.0,2.0,23425.28735632184,20392.156862745094,23976.470588235294,20243.67028364744,3161.0650845741043,1565.0730538793944,648.7593004336951,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,1.0,0901500011002,503,317.0,17.0,59.0,71.0,15.0,2.0,2.0,55523.95238095238,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,505,317.0,17.0,59.0,71.0,15.0,1.0,1.0,76410.2564102564,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,506,317.0,17.0,59.0,71.0,15.0,2.0,1.0,63246.3768115942,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,507,317.0,17.0,59.0,71.0,15.0,1.0,2.0,57484.61538461538,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,508,317.0,17.0,59.0,71.0,15.0,2.0,2.0,66615.66153846154,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,1.0,0901500011002,511,317.0,17.0,59.0,71.0,15.0,1.0,1.0,78372.51162790698,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,513,317.0,17.0,59.0,71.0,15.0,2.0,1.0,63432.835820895525,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
