main_name,location,id,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final,source,geometry,index_right,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,Ambito
Departamento En Venta Roma Norte,"Snsn, Roma Norte, Cuauhtémoc, Distrito Federal",1425,depto,venta,32.0,19.419526,-99.162549,4.0,,3.0,0.0,200.0,0.0,12900000.0,metros_cubicos,POINT (-99.162549 19.419526),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta Roma Norte,"Snsn, Roma Norte, Cuauhtémoc, Distrito Federal",1426,depto,venta,32.0,19.419526,-99.162549,1.0,,1.0,0.0,51.0,0.0,4976000.0,metros_cubicos,POINT (-99.162549 19.419526),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte Durango 22169ru,"Roma Norte, Cuauhtémoc, Distrito Federal",1431,depto,venta,4.0,19.4195256,-99.162549,3.0,1.0,2.0,122.0,122.0,0.0,8400000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte 22169al,"Roma Norte, Cuauhtémoc, Distrito Federal",1432,depto,venta,4.0,19.4195256,-99.162549,3.0,1.0,2.0,122.0,122.0,0.0,8400000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Cuauhtemoc Roma Norte 211895rt,"Roma Norte, Cuauhtémoc, Distrito Federal",1437,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,57.0,57.0,0.0,3640000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte Cuauhtemoc 211897rt,"Roma Norte, Cuauhtémoc, Distrito Federal",1438,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,1.0,67.0,67.0,0.0,4278000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte 22169nc,"Roma Norte, Cuauhtémoc, Distrito Federal",1439,depto,venta,4.0,19.4195256,-99.162549,3.0,1.0,2.0,122.0,122.0,0.0,8400000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Ph En Venta En Roma Norte,"Roma Norte, Cuauhtémoc, Distrito Federal",1450,depto,venta,3.0,19.4195256,-99.162549,3.0,1.0,3.0,284.0,284.0,0.0,12900000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Espectacular Departamento En Venta Con Terraza En Colonia Ro,"Roma Norte, Cuauhtémoc, Distrito Federal",1454,depto,venta,3.0,19.4195256,-99.162549,1.0,1.0,1.0,69.0,69.0,0.0,5000000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta,"Roma Norte, Cuauhtémoc, Distrito Federal",1455,depto,venta,8.0,19.4217314,-99.160594,1.0,,3.0,156.0,156.0,0.0,5900000.0,metros_cubicos,POINT (-99.160594 19.4217314),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte Zacatecas 211904ig,"Roma Norte, Cuauhtémoc, Distrito Federal",1469,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,57.0,57.0,0.0,3750000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
